SSC_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC50925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,16
SSC50926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,10,3,0,3,0,34
SSC50927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,8,4,0,0,0,29
SSC50928,6,4,19,8,18,9,3,0,0,68,0,0,13,5,10,7,3,3,0,40,83,124,263,221,259,218,65,11,0,1241
SSC50929,3,11,13,23,17,4,0,0,0,70,12,13,36,22,22,16,4,0,0,121,115,183,491,447,388,209,47,9,0,1878
SSC50930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,8,5,0,0,0,15
SSC50931,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,5,8,6,18,17,24,29,10,0,0,112
SSC50932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,0,17
SSC50933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9
SSC50934,3,10,11,20,13,6,0,0,0,60,0,5,11,13,16,7,3,0,0,61,60,122,250,234,266,188,49,4,3,1178
SSC50935,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,4,0,0,0,3,9,4,13,20,37,35,8,8,0,133
SSC50936,0,0,3,0,6,0,4,0,0,12,0,0,0,0,3,7,0,0,0,11,17,13,42,56,69,74,40,3,0,312
SSC50937,5,17,26,13,16,14,3,0,0,90,0,15,24,25,29,13,5,0,0,114,108,333,682,517,423,281,53,4,0,2402
SSC50938,3,0,12,3,3,9,0,0,0,29,0,0,9,7,12,3,0,0,0,28,35,40,140,104,114,80,23,0,0,532
SSC50939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,8,22,19,19,4,4,0,76
SSC50940,3,10,9,14,5,3,0,0,0,36,7,11,22,23,12,5,3,0,0,81,45,109,294,251,174,109,11,0,0,991
SSC50941,0,6,28,13,7,7,0,0,0,63,3,4,11,11,6,3,0,0,0,43,72,112,392,309,202,107,21,0,0,1209
SSC50942,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,11,19,5,31,36,24,12,7,0,141
SSC50943,0,0,0,3,4,0,0,0,0,10,0,8,0,0,0,0,0,0,0,15,15,27,26,40,76,47,13,0,0,255
SSC50944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,0,0,0,18
SSC50945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,9
SSC50946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8
SSC50947,0,0,4,3,3,6,0,0,0,18,0,0,8,4,3,10,6,0,0,24,33,14,64,62,102,100,13,3,0,391
SSC50948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,3,0,0,0,13
SSC50949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,7,3,0,0,36
SSC50950,7,11,14,31,47,18,8,0,0,137,11,23,10,35,69,25,8,0,0,178,345,357,295,796,1311,584,105,12,0,3799
SSC50951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13
SSC50952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,3,0,0,0,17
SSC50953,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,7,10,27,14,26,31,10,0,0,127
SSC50954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,3,7,4,3,0,36
SSC50955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,10
SSC50956,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,7,5,4,3,3,0,0,27
SSC50957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,6,3,0,0,0,21
SSC50958,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,7,3,5,9,6,13,13,9,3,0,69
SSC50959,3,4,3,9,13,3,6,0,0,38,3,3,8,3,7,3,0,0,0,30,57,73,143,172,186,147,41,3,0,823
SSC50960,5,24,29,23,33,18,3,0,0,133,12,26,71,54,39,43,7,0,0,245,135,329,717,587,603,438,75,4,0,2892
SSC50961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,10,3,0,0,0,23
SSC50963,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,3,12,14,6,5,0,0,45
SSC50964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,8,9,5,0,0,33
SSC50965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,20,22,24,8,3,0,91
SSC50966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,10,7,12,7,3,0,0,31
SSC50967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,15
SSC50968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,12,4,0,0,31
SSC50969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,12
SSC50970,0,0,0,3,0,3,0,0,0,12,0,0,0,0,7,3,0,3,0,10,10,13,15,30,74,41,11,3,0,198
SSC50971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,5,0,0,26
SSC50972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,11,7,3,0,0,0,21
SSC50973,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,4,6,11,4,16,17,7,3,0,74
SSC50974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,3,6,0,0,0,15
SSC50975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,0,0,17
SSC50976,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,3,0,0,0,20
SSC50977,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,4,10,11,13,23,38,34,4,0,0,124
SSC50978,5,8,12,4,6,5,5,0,0,45,3,3,3,8,9,7,0,0,0,29,36,71,135,138,168,159,59,8,0,778
SSC50979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10
