SSC_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SSC51525,0,0,12,21,6,37,0,13,0,92,7,18,20,21,17,40,6,12,3,143,40,110,78,42,54,23,18,36,3,405,42,111,65,37,54,21,16,35,4,383,43,90,54,38,57,24,14,22,0,338,47,73,47,33,53,18,15,22,3,315,22,21,12,9,19,6,6,8,3,109,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,199,424,297,200,265,171,77,144,23,1807
SSC51526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,13,7,0,3,0,0,0,0,3,0,19,9,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,4,3,3,5,0,3,0,48
SSC51527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,21
SSC51528,0,4,3,9,7,22,3,8,0,53,3,30,8,28,10,31,7,15,5,142,25,98,16,22,17,18,3,34,3,234,31,53,12,3,21,3,4,20,3,150,41,85,14,16,28,14,4,11,4,221,47,79,21,8,37,11,8,11,0,227,11,23,10,0,12,16,7,9,0,80,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,164,375,93,90,136,114,33,100,24,1125
SSC51529,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,11,6,3,5,0,3,0,4,4,0,31,3,0,8,0,0,0,0,0,0,15,3,0,0,0,0,0,0,7,0,15,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,6,18,4,11,4,14,10,3,82
SSC51530,0,0,0,3,0,11,0,4,0,29,3,6,6,7,3,7,3,0,0,41,13,39,11,14,9,9,7,3,0,103,35,37,13,8,18,9,0,3,3,125,31,54,7,8,20,12,5,3,0,140,32,52,12,7,28,6,3,6,0,151,5,9,0,4,4,3,3,0,0,37,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,121,207,54,49,88,64,23,27,3,626
SSC51531,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,10,6,3,3,3,0,4,3,0,32,11,3,0,0,0,0,4,0,0,18,8,0,0,0,0,0,3,0,0,13,3,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,36,9,10,3,6,0,17,12,0,88
SSC51532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,3,0,0,0,0,4,0,26
SSC51533,3,0,18,29,3,47,7,28,0,137,14,24,64,35,25,38,11,25,0,236,80,208,172,73,159,61,61,51,10,862,102,218,170,68,130,43,82,58,14,894,61,106,98,63,96,28,66,48,10,571,41,38,40,18,64,20,43,27,4,288,5,9,7,4,6,6,11,3,3,60,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,306,608,567,298,493,244,273,236,33,3051
SSC51534,0,0,3,3,0,3,0,0,0,10,0,0,8,9,0,4,5,3,0,26,0,4,9,0,3,0,4,0,0,15,7,10,14,4,3,0,4,5,0,46,10,0,13,8,3,3,4,8,4,49,11,5,13,4,3,0,4,4,0,45,7,3,3,0,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,22,58,26,24,8,23,19,7,221
