SSC_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC51019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51020,0,0,0,3,5,13,19,32,33,108,0,0,3,5,0,0,0,0,0,14,11,22,35,36,50,58,36,36,24,303,178,458,775,841,1004,913,687,364,183,5405
SSC51021,0,0,0,3,8,9,13,18,14,59,0,0,0,0,0,0,0,3,0,3,0,6,6,15,20,21,36,31,8,140,39,111,183,174,300,329,282,162,56,1646
SSC51022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51023,0,0,0,0,4,3,0,0,0,4,0,0,3,0,0,0,0,0,0,6,0,6,79,51,57,25,3,0,0,214,3,33,396,265,241,105,10,0,0,1062
SSC51024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,7,0,3,8,8,7,14,0,3,0,41
SSC51025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,3,0,0,15
SSC51026,0,0,0,0,6,5,21,30,9,78,0,0,0,0,0,4,8,3,0,15,5,10,29,29,41,30,28,19,3,182,110,162,412,412,473,395,253,135,32,2390
SSC51027,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,9,9,9,0,0,40
SSC51028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51030,0,0,0,0,4,5,9,8,6,30,0,0,3,0,0,0,0,0,0,3,11,0,6,14,21,22,12,8,0,104,39,46,95,131,166,145,99,40,9,770
SSC51031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,3,15,3,14,22,12,26,23,20,8,6,132
SSC51032,0,3,4,3,3,3,0,0,0,16,3,0,0,0,0,3,5,0,0,16,7,11,24,11,15,3,4,0,0,91,21,37,75,40,53,19,16,5,0,259
SSC51033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,16
SSC51034,0,0,0,0,0,0,5,12,4,19,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,5,4,3,0,28,6,11,52,44,41,48,38,29,5,276
SSC51035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51036,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,22,22,15,4,3,0,0,66,0,15,67,48,37,5,3,0,0,179
SSC51037,0,0,3,0,5,13,25,27,8,77,0,0,0,0,0,0,0,0,0,3,22,8,18,43,60,49,32,31,5,275,196,325,529,908,971,762,529,210,55,4485
SSC51038,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,3,5,0,0,21,3,7,9,12,36,32,22,10,0,130
SSC51039,0,0,0,0,3,10,9,9,3,31,0,0,0,0,0,0,0,0,0,0,0,3,8,3,16,14,9,10,3,62,11,20,50,40,79,63,35,20,7,334
SSC51040,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,3,3,9,11,3,0,0,32,10,20,40,40,50,40,16,4,5,228
SSC51041,0,0,0,0,3,4,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,11,8,3,6,3,0,45,8,11,26,33,32,22,31,13,0,165
