SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC51614,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,9,4,0,0,9,11,5,3,0,0,38
SSC51615,3,5,17,17,7,21,3,0,0,69,0,0,12,21,5,7,0,0,0,43,0,0,12,5,6,9,0,0,0,35,0,0,10,7,5,3,0,0,0,26,0,0,6,9,9,8,5,5,0,43,0,0,0,3,5,0,3,0,0,17,3,3,6,7,9,13,5,6,3,53,29,39,124,122,100,143,88,34,26,706
SSC51616,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,0,0,3,0,20
SSC51617,0,0,0,0,3,0,0,0,0,14,0,0,0,0,6,3,0,0,0,12,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,0,0,0,3,3,0,0,0,9,4,0,0,0,0,3,6,4,0,20,10,8,7,6,33,29,27,11,0,133
SSC51618,0,4,27,19,20,21,3,0,0,99,0,5,16,22,10,13,3,0,0,74,0,0,5,11,9,8,3,0,0,40,0,0,14,9,7,9,0,0,0,49,0,0,3,7,3,9,3,0,0,34,0,0,0,3,0,3,3,0,0,12,10,11,31,21,15,31,18,26,6,167,84,102,189,193,212,222,175,145,44,1376
SSC51619,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,3,3,0,0,0,0,6,0,0,0,0,5,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,14,0,11,17,19,30,37,24,12,0,137
SSC51620,0,5,21,13,21,18,0,3,0,81,0,8,12,15,15,14,0,4,0,62,0,0,9,18,24,16,4,0,0,71,0,0,8,11,12,10,0,0,0,42,0,0,5,19,28,25,0,0,0,78,0,0,6,8,12,7,3,0,0,34,3,7,15,7,23,21,16,3,3,98,64,76,139,159,180,171,121,56,20,1000
SSC51621,0,19,38,32,54,37,26,23,3,236,0,6,41,37,48,31,23,8,3,196,0,5,32,43,47,39,15,4,0,177,0,8,16,14,38,33,4,5,4,124,0,0,41,62,78,48,13,3,0,249,0,0,12,94,103,47,11,7,3,272,27,6,22,19,25,24,13,31,12,184,303,204,358,482,601,431,376,411,172,3334
SSC51622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC51623,0,0,6,3,5,11,3,3,3,39,0,0,3,5,3,3,0,0,0,17,0,0,4,3,4,3,3,0,0,22,0,0,3,0,3,4,0,0,0,12,0,0,0,10,7,0,0,0,0,16,0,0,0,3,3,3,3,0,0,17,5,3,0,11,9,10,4,4,0,54,38,25,59,74,90,87,90,51,5,509
SSC51624,0,61,84,83,186,176,47,10,7,650,0,25,69,74,137,108,25,6,3,456,0,8,62,80,119,115,18,0,0,406,0,3,36,92,117,99,12,3,0,369,0,0,57,178,252,173,22,4,0,678,0,0,33,112,168,83,11,0,0,411,34,26,26,31,61,49,29,16,9,284,818,653,688,1113,1648,1495,705,344,135,7601
SSC51625,0,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,6,3,12,13,13,11,3,0,0,71
SSC51626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,11,0,0,0,0,17,0,3,5,3,12,0,0,0,0,20
SSC51627,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,6,4,4,3,4,0,24
SSC51628,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,6,3,0,0,13
SSC51629,0,10,10,12,10,10,0,0,0,52,0,0,9,12,15,3,0,0,0,42,0,0,0,5,11,10,3,0,0,26,0,0,0,4,8,8,0,0,0,27,0,0,0,10,7,5,0,0,0,27,0,0,0,5,4,6,0,0,0,21,26,245,663,546,278,111,53,14,0,1941,63,281,720,644,406,213,121,39,0,2484
SSC51630,0,11,18,24,20,18,7,3,0,98,0,0,7,14,22,6,0,0,0,46,0,0,6,13,17,17,3,0,0,57,0,0,3,15,14,13,3,0,0,50,0,0,15,13,23,17,3,0,0,77,0,0,0,7,16,5,0,0,0,29,14,3,6,17,21,19,16,3,0,104,118,74,106,168,228,181,154,43,12,1082
SSC51631,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,5,3,10,16,10,5,0,55
SSC51632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,7,0,0,28
SSC51633,0,0,4,0,0,3,4,0,0,13,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,11,0,0,10,16,8,20,13,8,6,82
SSC51634,3,8,23,20,19,17,6,0,0,94,0,0,10,13,17,20,0,0,0,62,0,0,11,12,24,11,3,0,0,61,0,3,3,10,13,8,0,0,0,42,0,0,7,10,9,5,3,0,0,36,0,0,0,0,4,0,0,0,0,13,10,9,19,14,21,28,12,8,0,116,101,76,139,169,206,213,135,61,8,1106
SSC51635,0,0,0,0,3,0,0,0,0,13,0,0,5,4,3,0,0,0,0,17,0,0,5,5,0,3,0,0,0,8,0,0,0,3,0,0,0,0,0,5,0,0,0,4,3,4,0,0,0,12,0,0,0,6,7,3,0,0,0,19,9,4,0,3,6,7,4,0,4,40,28,24,20,45,47,55,41,15,6,272
SSC51636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
