SSC_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SSC51667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51672,0,0,0,0,0,0,4,0,10,127,106,5,242,18,0,19,265,151,3,414
SSC51673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC51674,0,0,0,0,0,0,0,0,0,24,31,3,56,7,6,6,63,41,3,111
SSC51675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51676,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3
SSC51677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51679,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,6,0,0,8
SSC51680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC59494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
