SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC50729,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50730,..,3,3,9,0,9,4,0,4,9,0,9,3,0,3,3,0,3,26,6,26
SSC50731,..,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16
SSC50732,..,29,29,19,3,19,0,0,0,0,0,0,0,0,0,0,0,0,19,30,54
SSC50733,..,29,29,30,7,39,12,0,12,14,0,14,7,0,7,0,0,0,67,35,105
SSC50734,..,655,655,973,57,1032,500,22,523,664,10,677,238,0,238,53,0,54,2425,745,3178
SSC50735,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50736,..,365,365,413,38,445,147,11,152,135,3,135,70,0,75,61,4,65,818,423,1242
SSC50737,..,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,15,0,16
SSC50738,..,13,13,10,0,10,4,0,4,0,0,0,3,0,3,0,0,0,18,13,35
SSC50739,..,21,21,44,4,48,30,0,28,20,0,20,10,0,10,7,0,7,104,23,127
SSC50740,..,0,0,6,0,6,4,0,4,0,0,0,0,0,0,0,0,0,14,0,15
SSC50741,..,116,116,128,8,132,41,0,42,36,0,36,16,0,16,20,0,20,243,122,362
SSC50742,..,1062,1062,1245,97,1344,639,8,650,476,9,484,213,0,220,131,3,136,2704,1176,3883
SSC50743,..,109,109,183,3,186,50,0,51,33,0,33,14,0,14,14,0,14,291,115,407
SSC50744,..,0,0,5,0,5,0,0,0,0,0,0,4,0,4,0,0,0,11,0,11
SSC50745,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50746,..,331,331,413,42,461,230,11,233,333,6,339,129,5,137,29,0,29,1143,394,1530
SSC50747,..,19,19,15,0,14,8,0,8,4,0,4,0,0,0,0,0,0,26,21,41
SSC50748,..,414,414,513,59,566,325,16,343,268,11,278,178,4,186,117,3,119,1406,504,1913
SSC50749,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50750,..,716,716,682,96,774,379,29,407,338,9,355,149,13,162,100,0,101,1652,863,2514
SSC50751,..,27,27,42,0,42,10,0,10,14,0,14,7,0,7,3,0,3,75,27,99
SSC50752,..,139,139,171,12,185,126,3,135,107,3,110,39,4,45,20,0,20,470,164,635
SSC50753,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50754,..,19,19,13,0,20,8,0,8,6,0,6,3,0,3,8,0,7,36,21,57
SSC50755,..,29,29,34,0,35,13,0,13,13,0,13,8,0,8,0,0,0,66,31,100
SSC50756,..,3,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10
SSC50757,..,51,51,37,0,41,13,0,13,13,0,13,8,0,8,8,0,8,82,58,134
SSC50758,..,929,929,1544,58,1604,741,11,752,917,0,918,312,0,313,101,0,101,3621,998,4622
SSC50759,..,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
SSC50760,..,274,274,613,23,638,450,6,455,551,0,556,219,0,219,77,0,77,1908,309,2219
SSC50761,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50762,..,27,27,21,3,24,9,0,9,9,0,12,3,0,3,3,0,3,45,29,79
SSC50763,..,3,3,0,0,0,3,0,3,6,0,6,3,0,3,0,0,0,5,3,7
SSC50764,..,3,3,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,6,3,13
SSC50765,..,155,155,165,5,173,66,0,66,67,0,67,20,0,20,12,0,12,321,165,492
SSC50766,..,10,10,13,0,13,5,0,5,0,0,0,0,0,0,0,0,0,26,10,30
SSC50767,..,46,46,43,0,43,19,0,19,13,0,13,7,0,7,3,0,3,85,46,135
SSC50768,..,4,4,4,0,4,0,0,0,3,0,3,4,0,4,0,0,0,11,5,16
SSC50769,..,3,3,10,0,10,4,0,7,0,0,0,3,0,3,3,0,3,23,5,27
SSC50770,..,3,3,11,0,11,3,0,3,3,0,3,3,0,3,0,0,0,15,3,17
SSC50771,..,7,7,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
SSC50772,..,0,0,5,0,5,4,0,4,0,0,0,0,0,0,0,0,0,6,0,6
SSC50773,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50774,..,3,3,5,0,5,3,0,3,5,0,5,3,0,3,0,0,0,18,3,22
SSC50775,..,289,289,300,30,332,219,7,224,173,3,171,105,0,109,121,4,120,921,340,1257
SSC50776,..,126,126,115,16,129,66,0,66,45,0,45,15,0,15,12,0,12,250,142,390
SSC50777,..,37,37,39,3,40,14,0,14,14,0,14,3,0,3,3,0,3,73,37,115
SSC50778,..,0,0,7,0,7,4,0,4,0,0,0,3,0,3,0,0,0,18,0,18
