SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC50597,71,96,164,974,292,37,1309,1904,298,3508
SSC50598,0,0,0,6,3,0,10,26,0,39
SSC50599,0,0,0,9,3,0,11,22,0,35
SSC50600,4,0,4,134,86,9,236,612,252,1096
SSC50601,212,53,271,2281,864,94,3236,7056,849,11141
SSC50602,3,0,3,38,18,0,57,141,16,220
SSC50603,0,0,0,3,0,0,3,36,4,41
SSC50604,0,0,0,0,0,0,3,19,3,20
SSC50605,46,11,57,897,379,42,1315,2494,245,4047
SSC50606,0,0,0,0,0,0,0,0,0,0
SSC50607,211,91,312,1448,597,63,2114,5686,977,8769
SSC50608,3,0,3,1295,196,22,1516,1800,218,3528
SSC50609,5,3,6,550,103,22,673,993,158,1823
SSC50610,0,0,0,22,4,0,24,44,7,73
SSC50611,16,0,12,2241,398,65,2704,3740,279,6721
SSC50612,0,0,0,15,8,0,26,18,4,43
SSC50613,78,8,82,464,202,10,675,1753,292,2722
SSC50614,0,0,0,12,0,0,8,18,0,28
SSC50615,0,0,0,0,0,0,0,0,0,0
SSC50616,0,0,0,47,18,3,68,179,28,274
SSC50617,0,0,0,171,35,4,220,288,40,545
SSC50618,23,3,27,84,70,0,156,537,72,762
SSC50619,0,0,0,9,5,0,14,43,10,63
SSC50620,37,11,50,1226,384,56,1665,3362,354,5379
SSC50621,25,5,30,638,286,30,955,1915,154,3018
SSC50622,0,0,0,0,0,0,0,12,9,13
SSC50623,12,0,12,439,158,25,623,1215,153,1990
SSC50624,4,0,4,15,11,0,23,83,15,125
SSC50625,0,0,0,0,0,0,0,0,0,0
SSC50626,25,3,31,219,139,3,361,830,97,1283
SSC50627,0,0,0,54,18,4,79,251,49,376
SSC50628,0,0,0,17,4,3,21,48,16,80
SSC50629,0,0,0,14,3,0,19,60,6,83
SSC50630,0,0,0,9,0,0,12,43,5,66
SSC50631,101,28,128,2149,738,90,2979,6027,831,9835
SSC50632,0,0,0,38,26,0,73,128,43,248
SSC50633,19,4,24,188,72,11,262,1517,241,2029
SSC50634,0,0,0,370,94,15,475,613,55,1142
SSC50635,0,0,0,10,7,0,20,64,0,82
SSC50636,102,16,123,1898,794,75,2765,5604,378,8744
SSC50637,22,5,24,278,133,16,423,954,126,1505
SSC50638,0,0,0,9,3,0,19,31,0,51
SSC50639,100,63,161,615,177,47,832,2025,354,3219
SSC50640,0,0,0,5,0,0,9,19,0,24
SSC50641,0,0,0,10,0,0,7,27,4,45
SSC50642,0,0,0,4,3,0,11,39,7,51
SSC50643,20,3,25,1335,309,59,1708,2517,199,4427
SSC50644,3,0,3,9,8,0,23,77,16,108
SSC50645,0,0,0,8,0,0,8,20,11,34
SSC50646,0,0,0,0,0,0,0,0,0,0
SSC50647,0,0,0,3,4,0,10,9,3,22
SSC50648,0,0,0,10,0,0,14,15,0,27
SSC50649,0,0,0,0,0,0,0,17,0,19
SSC50650,0,0,0,7,10,0,11,34,5,56
SSC50651,4,0,6,44,25,4,76,173,31,282
SSC50652,12,3,11,104,25,7,141,491,88,712
SSC50653,0,0,0,14,11,0,32,88,11,128
SSC50654,0,0,0,0,0,0,0,0,5,6
SSC50655,3,0,9,97,41,0,141,371,23,543
SSC50656,0,0,0,14,3,3,23,74,15,107
SSC50657,0,0,0,13,0,0,18,22,3,37
SSC50658,0,0,0,3,0,0,3,21,0,30
SSC50659,56,7,62,1679,500,77,2249,4100,372,6721
SSC50660,0,0,0,76,28,3,105,162,21,290
SSC50661,0,0,0,7,3,0,13,8,3,25
SSC50662,19,0,22,999,350,32,1383,2680,127,4188
SSC50663,0,0,0,0,0,0,3,22,13,34
SSC50664,0,0,0,0,0,0,3,11,3,12
SSC50665,0,0,0,8,3,0,10,18,0,32
SSC50666,108,14,122,975,252,34,1260,3146,344,4747
SSC50667,0,0,0,3,0,0,5,13,0,20
SSC50668,229,78,306,1119,364,25,1510,5096,681,7284
SSC50669,0,0,0,4,0,0,4,10,6,22
SSC50670,0,0,0,7,3,0,15,47,10,66
SSC50671,0,0,0,17,5,0,24,36,9,69
SSC50672,0,0,0,0,0,0,0,0,0,0
SSC50673,0,0,0,13,0,0,18,28,4,47
SSC50674,0,0,0,10,5,0,16,23,4,44
SSC50675,0,0,0,14,0,0,23,13,7,43
SSC50676,0,0,0,10,5,0,13,95,8,116
SSC50677,0,0,0,12,0,0,9,6,0,24
SSC50678,3,0,3,39,18,0,62,178,13,256
SSC50679,16,0,16,390,215,21,621,1482,139,2242
SSC50680,12,3,15,664,226,24,909,1727,138,2770
SSC50681,0,0,0,35,3,0,34,94,12,139
SSC50682,8,0,14,203,61,7,267,581,92,938
SSC50683,0,0,0,5,0,0,5,12,3,17
SSC50684,0,0,0,34,3,0,37,81,13,125
SSC50685,0,0,0,16,3,0,18,29,7,48
SSC50686,0,0,0,16,6,0,27,21,8,52
SSC50687,3,0,5,31,4,0,42,77,19,129
SSC50688,0,0,4,61,18,3,81,148,45,276
SSC50689,0,0,3,7,0,0,7,14,7,35
SSC50690,0,0,0,9,3,0,16,18,4,38
SSC50691,4,0,4,544,122,19,691,1116,124,1931
SSC50692,0,0,0,12,0,0,17,35,5,54
SSC50693,0,0,0,23,10,5,32,46,10,85
SSC50694,0,0,0,4,11,0,12,25,3,35
SSC50695,77,90,164,130,72,4,209,865,215,1282
SSC50696,153,34,188,1207,554,51,1810,5515,567,7890
SSC50697,127,42,168,703,240,22,964,2839,366,4166
SSC50698,3,0,3,37,15,0,50,210,26,292
SSC50699,0,0,0,43,9,0,50,138,30,222
SSC50700,22,8,28,236,88,11,331,984,160,1478
SSC50701,0,0,0,11,3,0,9,13,0,26
SSC50702,163,47,212,1008,549,38,1592,3874,417,5883
SSC50703,0,0,0,23,6,4,32,98,21,147
SSC50704,17,5,19,202,75,6,276,881,177,1344
SSC50705,0,0,0,0,0,0,0,0,0,0
SSC50706,12,0,12,100,35,3,140,429,58,629
SSC50707,29,10,36,560,173,22,752,2071,419,3242
SSC50708,0,0,0,17,9,0,20,27,0,48
SSC50709,83,25,112,872,419,34,1325,2621,311,4260
SSC50710,0,0,0,18,5,0,28,35,3,58
SSC50711,0,0,0,72,78,5,158,114,30,291
SSC50712,0,0,0,122,33,0,161,308,128,598
SSC50713,3,0,3,342,79,13,437,724,161,1318
SSC50714,3,0,3,71,24,0,94,225,31,351
SSC50715,0,0,0,0,0,0,0,6,3,10
SSC50716,3,0,3,35,20,0,52,143,14,214
SSC50717,0,0,0,3,12,0,12,20,22,49
SSC50718,15,3,20,231,95,8,331,1339,148,1819
SSC50719,126,15,144,1169,619,40,1828,5284,408,7519
SSC50720,0,0,0,0,0,0,0,27,16,46
SSC50721,0,0,0,13,0,0,14,58,4,82
SSC50722,0,0,0,34,5,0,36,66,33,129
SSC50723,0,0,0,4,0,0,4,21,0,20
SSC50724,4,0,0,71,19,7,98,248,66,410
SSC50725,8,0,8,257,95,16,365,598,122,1084
SSC50726,0,0,0,63,31,0,102,213,16,320
SSC50727,0,0,0,0,0,0,0,4,0,5
SSC50728,3,0,4,23,13,0,32,95,24,150
SSC50729,0,0,0,0,0,0,0,3,0,3
SSC50730,0,0,0,22,3,0,25,23,0,51
SSC50731,0,0,0,17,4,0,23,42,8,74
SSC50732,0,0,0,15,8,0,22,133,54,210
SSC50733,0,3,4,35,22,3,65,129,22,219
SSC50734,187,26,223,1737,630,76,2442,4407,428,7286
SSC50735,0,0,0,0,0,0,0,0,0,0
SSC50736,66,19,95,437,211,31,678,1822,455,2957
SSC50737,0,0,0,4,5,3,8,21,7,36
SSC50738,0,0,0,12,9,0,17,45,11,75
SSC50739,3,0,3,81,16,4,104,163,21,285
SSC50740,0,0,0,9,0,0,13,17,3,25
SSC50741,26,13,44,145,55,7,200,485,101,793
SSC50742,134,89,222,1599,690,82,2365,5335,848,8551
SSC50743,3,0,3,112,54,0,167,590,85,843
SSC50744,0,0,0,0,3,0,3,10,0,18
SSC50745,0,0,0,0,0,0,0,0,3,3
SSC50746,71,8,79,863,201,53,1112,2175,242,3530
SSC50747,0,0,0,18,3,0,19,54,7,86
SSC50748,33,7,38,913,274,30,1212,3016,326,4553
SSC50749,0,0,0,0,0,0,0,0,0,0
SSC50750,110,20,128,1086,331,36,1452,3595,510,5565
SSC50751,0,0,0,42,15,0,54,171,350,579
SSC50752,18,0,18,265,112,6,387,1023,123,1531
SSC50753,0,0,0,0,0,0,0,3,12,11
SSC50754,0,0,0,26,15,20,63,78,30,170
SSC50755,0,0,0,32,10,0,44,172,15,233
SSC50756,0,0,0,0,0,0,0,16,3,23
SSC50757,3,0,3,38,16,0,56,191,29,279
SSC50758,462,45,512,2284,1042,102,3424,6667,513,10603
SSC50759,0,0,0,5,0,0,5,9,0,12
SSC50760,38,28,68,1366,363,55,1787,3333,274,5395
SSC50761,0,0,0,5,0,0,5,6,0,11
SSC50762,4,0,7,33,9,0,39,104,31,178
SSC50763,0,0,0,11,3,0,8,11,4,31
SSC50764,0,0,0,3,3,0,3,17,0,24
SSC50765,27,19,50,172,97,9,275,617,143,1042
SSC50766,0,0,0,11,8,0,18,47,7,77
SSC50767,5,0,5,53,28,0,76,185,25,286
SSC50768,0,0,0,7,0,0,13,16,0,27
