SSC_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SSC50890,0,3,4,6,4,16,0,16
SSC50891,3,17,49,30,58,155,3,154
SSC50892,0,0,5,0,0,8,0,8
SSC50893,72,876,1139,373,138,2591,75,2661
SSC50894,5,22,72,67,84,243,5,253
SSC50895,16,167,370,151,86,787,11,799
SSC50896,0,0,0,0,0,0,0,0
SSC50897,0,0,0,3,0,3,0,6
SSC50898,0,0,3,3,5,18,0,18
SSC50899,0,0,0,0,0,0,0,0
SSC50900,0,0,0,0,0,3,0,3
SSC50901,25,128,187,79,97,517,24,540
SSC50902,3,16,8,8,0,35,3,32
SSC50903,5,24,23,12,8,68,4,75
SSC50904,0,0,0,0,0,0,0,0
SSC50905,0,0,0,0,3,9,0,9
SSC50906,0,10,29,17,13,69,0,68
SSC50907,610,2690,1658,395,146,5491,153,5645
SSC50908,0,3,4,10,8,27,0,27
SSC50909,0,3,3,0,0,7,0,11
SSC50910,21,295,503,218,111,1143,28,1172
SSC50911,0,0,0,0,0,0,0,0
SSC50912,100,948,1162,354,174,2738,70,2803
SSC50913,0,23,31,15,17,84,3,91
SSC50914,0,3,0,0,0,3,3,6
SSC50915,82,412,273,92,46,907,49,947
SSC50916,26,65,44,23,3,162,11,172
SSC50917,0,0,3,0,0,5,0,5
SSC50918,0,4,26,14,10,63,3,63
SSC50919,0,0,4,3,3,14,0,14
SSC50920,0,13,25,20,3,56,7,60
SSC50921,0,0,0,0,0,0,0,0
SSC50922,77,655,955,246,132,2066,49,2112
SSC50923,99,385,318,98,62,961,41,1003
SSC50924,4,14,12,3,3,38,5,41
SSC50925,0,4,6,0,4,8,0,9
SSC50926,0,3,7,3,4,21,0,21
SSC50927,0,0,9,3,6,16,0,16
SSC50928,83,308,388,144,71,993,49,1043
SSC50929,128,819,635,199,91,1875,65,1940
SSC50930,0,5,3,3,0,12,0,17
SSC50931,0,12,19,15,14,64,0,70
SSC50932,0,0,3,3,0,9,0,9
SSC50933,0,0,5,0,0,8,0,8
SSC50934,41,340,347,139,104,967,37,1005
SSC50935,4,22,21,19,17,87,4,87
SSC50936,12,109,122,23,19,281,6,289
SSC50937,350,1139,630,140,37,2303,112,2413
SSC50938,49,236,157,58,28,533,41,572
SSC50939,4,5,11,13,9,47,3,49
SSC50940,28,177,269,96,49,617,19,634
SSC50941,3,136,399,147,43,734,12,744
SSC50942,0,7,31,18,16,81,3,87
SSC50943,4,18,49,45,47,161,4,168
SSC50944,0,0,0,0,5,7,3,7
SSC50945,0,6,0,0,0,5,0,5
SSC50946,0,0,0,0,3,7,0,7
SSC50947,3,72,128,54,46,304,14,316
SSC50948,0,0,0,0,4,0,0,0
SSC50949,0,3,8,9,3,23,0,23
SSC50950,29,534,1054,496,257,2372,28,2401
SSC50951,0,0,5,0,0,6,0,6
SSC50952,0,0,3,0,5,14,0,15
SSC50953,5,38,45,16,16,117,3,120
SSC50954,0,3,7,3,9,20,0,20
SSC50955,0,0,0,0,0,0,4,4
SSC50956,0,0,0,3,5,13,0,13
SSC50957,0,3,3,3,4,17,0,13
SSC50958,0,18,10,7,7,42,5,50
SSC50959,56,278,251,67,39,693,26,718
SSC50960,178,725,789,375,243,2310,126,2433
SSC50961,0,3,0,0,0,3,0,6
SSC50962,0,4,8,0,9,20,0,20
SSC50963,0,6,10,4,3,31,0,30
SSC50964,0,0,5,4,7,21,0,21
SSC50965,0,21,25,21,17,76,0,80
SSC50966,0,3,9,3,4,21,0,21
SSC50967,0,0,0,0,3,9,0,9
SSC50968,0,16,28,10,3,51,3,52
SSC50969,0,0,4,0,0,7,0,7
SSC50970,0,15,46,31,33,126,5,135
SSC50971,0,3,10,10,0,18,3,23
SSC50972,0,0,4,3,5,9,0,9
SSC50973,3,12,17,13,14,59,0,59
SSC50974,0,0,4,3,3,12,0,12
SSC50975,0,3,0,7,4,15,0,15
SSC50976,0,0,5,4,3,12,0,12
SSC50977,0,17,21,14,31,83,6,87
SSC50978,45,202,195,93,86,612,31,642
SSC50979,0,0,0,0,0,0,0,0
SSC50980,0,0,3,0,0,5,0,4
SSC50981,0,0,11,0,7,22,0,25
SSC50982,0,46,100,62,69,274,13,291
SSC50983,7,82,62,13,10,179,10,193
SSC50984,0,0,5,0,0,11,0,13
SSC50985,0,0,3,3,3,12,0,12
