SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC51339,32,38,70,9,3,19,3,9,14,3,3,4,0,0,0,21,22,39,9,13,21,0,0,0,65.6,57.9,55.7,46.9,39.5,52.9,0,0,0,0,0,0,3,12,11,3,3,4,11,3,11,0,0,0,0,0,0,11,3,15,24,29,53,9,6,15,20,25,45,14,9,22
SSC51340,532,523,1059,193,98,291,59,128,192,27,10,37,37,26,59,306,270,579,197,233,429,12.1,9.6,10.2,57.5,51.6,54.7,52.4,45.1,49.1,5,9,18,6,11,20,36,60,99,40,57,104,167,49,219,5,16,27,10,17,27,190,82,274,486,481,968,93,78,169,274,273,547,302,293,599
SSC51341,967,994,1965,617,326,938,86,278,363,41,46,86,47,40,81,782,686,1471,130,271,405,6,5.8,5.5,80.9,69,74.9,76.9,65.4,70.6,29,30,57,10,31,42,88,178,268,76,113,189,317,147,464,11,17,26,20,25,47,349,189,537,944,1032,1972,215,223,432,410,422,834,660,713,1371
SSC51342,327,338,660,152,77,226,35,100,137,15,18,27,10,12,20,215,203,414,91,114,204,4.7,5.9,4.8,65.7,60.1,62.7,61.8,57.7,59.1,0,3,3,0,3,3,8,25,36,10,28,39,86,41,125,4,11,16,4,4,11,94,59,152,335,348,680,66,74,137,191,193,386,198,196,392
SSC51343,1374,1400,2775,718,344,1067,157,395,547,45,48,98,90,99,191,1016,885,1902,270,444,714,8.9,11.2,10,73.9,63.2,68.5,67,56.2,61.7,18,20,37,19,36,55,92,174,269,121,168,293,461,225,682,19,27,41,16,41,56,494,287,776,1397,1425,2824,291,275,570,778,776,1552,825,852,1675
SSC51344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51346,23,20,44,9,5,11,5,10,13,0,0,0,0,0,0,19,13,30,3,6,11,0,0,0,82.6,65,68.2,60.9,75,54.5,0,0,3,0,0,3,0,3,3,0,0,3,3,0,6,0,0,0,0,0,0,3,3,3,23,21,42,0,0,0,22,23,40,3,3,8
SSC51347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51348,1672,1447,3120,1048,496,1547,111,389,502,74,48,123,56,67,127,1293,1004,2295,185,321,506,4.3,6.7,5.5,77.3,69.4,73.6,73.7,64.5,69.6,43,34,81,9,25,40,135,208,343,91,143,231,561,174,737,16,25,41,25,39,65,608,237,847,1516,1419,2936,384,313,699,833,756,1581,970,886,1858
SSC51349,2946,3114,6060,1367,666,2036,437,967,1402,82,96,181,129,105,237,2016,1836,3854,801,1165,1968,6.4,5.7,6.1,68.4,59,63.6,64,55.5,59.7,215,118,332,74,131,203,627,705,1334,307,395,703,592,222,819,18,37,52,42,101,148,657,360,1017,2927,3078,6004,416,463,877,2139,2277,4424,1140,1201,2342
SSC51350,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0
SSC51351,651,459,1110,268,106,375,35,97,132,24,14,34,36,20,53,360,233,595,183,159,341,10,8.6,8.9,55.3,50.8,53.6,50.2,47.3,48.7,3,3,3,0,8,8,6,16,23,14,32,42,164,46,203,7,17,26,7,6,16,174,67,242,464,395,859,88,89,182,292,259,553,224,193,417
SSC51352,3251,3681,6938,1442,790,2227,386,949,1333,121,102,217,156,138,296,2105,1973,4079,933,1479,2412,7.4,7,7.3,64.7,53.6,58.8,60,50,54.4,77,83,155,51,100,146,359,531,893,269,358,627,931,482,1414,36,81,118,60,112,170,1029,672,1697,3023,3298,6325,579,657,1233,1987,2141,4130,1477,1687,3158
SSC51353,8,6,18,10,0,5,0,0,0,0,3,3,0,0,0,11,3,10,0,3,3,0,0,0,137.5,50,55.6,125,50,44.4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,30,0,0,0,9,12,22,3,3,5
SSC51354,398,378,776,142,130,267,34,66,103,21,9,29,20,15,35,221,219,440,115,104,222,9,6.8,8,55.5,57.9,56.7,49.5,54.2,51.4,5,3,4,3,3,10,22,32,57,17,26,48,96,42,137,8,14,28,12,14,17,115,67,181,370,339,703,50,55,112,259,237,496,139,135,271
SSC51355,8,6,8,8,0,3,0,4,3,0,0,0,0,0,0,8,4,13,0,0,0,0,0,0,100,66.7,162.5,100,66.7,75,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,4,4,7,9,6,20,0,0,0,9,5,19,0,0,3
SSC51356,18,20,43,8,8,16,0,4,5,0,0,0,0,0,0,10,6,15,12,10,25,0,0,0,55.6,30,34.9,44.4,60,48.8,0,0,0,0,0,0,0,0,0,3,0,5,0,0,4,0,0,0,0,0,0,0,3,5,20,25,46,0,0,3,12,16,25,6,12,18
SSC51357,1309,1405,2714,512,336,855,214,416,627,34,49,85,72,55,125,829,855,1691,356,452,803,8.7,6.4,7.4,63.3,60.9,62.3,58.1,57,57.7,120,139,263,33,48,87,271,416,682,108,137,242,222,75,301,3,6,14,22,32,57,250,118,371,1067,1179,2250,244,263,509,719,795,1517,579,621,1201
SSC51358,3,4,12,7,0,4,0,0,0,0,0,0,0,0,0,3,7,9,0,3,3,0,0,0,100,175,75,233.3,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,5,0,6,13,6,20,0,0,0,3,4,7,4,6,14
SSC51359,45,34,82,17,8,24,10,5,15,0,0,3,3,0,3,31,20,43,20,16,38,9.7,0,7,68.9,58.8,52.4,60,38.2,51.2,0,0,0,0,0,3,0,4,4,3,3,6,10,5,22,0,0,0,0,0,0,10,7,22,42,39,79,9,3,7,32,29,66,15,9,24
SSC51360,1273,1319,2590,709,426,1134,126,340,463,58,60,113,69,58,125,957,879,1832,245,374,622,7.2,6.6,6.8,75.2,66.6,70.7,70.1,62.6,66,48,31,79,23,35,56,140,251,388,116,144,264,352,157,507,9,28,35,26,40,65,389,219,607,1251,1260,2517,242,237,482,766,774,1541,628,664,1294
SSC51361,3696,3396,7089,2059,1119,3177,244,589,825,190,160,352,139,143,285,2636,2002,4640,470,848,1314,5.3,7.1,6.1,71.3,59,65.5,67.5,55,61.4,37,44,77,20,67,92,169,364,531,185,305,485,1300,395,1690,40,95,130,39,60,98,1376,548,1925,2762,2444,5202,1260,1242,2503,1073,940,2016,2606,2431,5031
SSC51362,1900,1822,3719,1041,508,1540,136,395,529,79,77,154,84,91,171,1332,1065,2400,342,561,909,6.3,8.5,7.1,70.1,58.5,64.5,66.1,53.8,59.8,26,20,50,8,21,37,77,152,225,86,126,215,555,223,776,21,36,55,26,53,81,600,312,913,1730,1617,3352,413,429,843,983,907,1897,1013,1029,2040
SSC51363,7,4,16,6,0,13,0,3,3,0,0,0,0,0,0,6,6,12,0,0,0,0,0,0,85.7,150,75,85.7,75,100,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,3,3,7,8,6,15,0,0,0,4,3,12,3,4,7
SSC51364,34,29,62,26,8,32,0,7,6,3,0,3,0,0,0,31,18,50,0,6,9,0,0,0,91.2,62.1,80.6,85.3,51.7,66.1,0,0,0,0,0,0,0,6,9,0,7,4,0,0,3,0,0,0,0,0,0,0,0,3,34,30,63,3,3,5,25,21,47,4,9,17
SSC51365,8,9,20,3,0,3,0,3,4,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,33.3,45,37.5,33.3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,0,0,0,0,0,0,5,3,9
SSC51366,2422,2359,4783,1171,684,1853,306,578,881,78,76,150,169,147,317,1717,1488,3205,529,746,1271,9.8,9.9,9.9,70.9,63.1,67,64.2,56.7,60.3,57,65,122,22,55,79,217,320,531,138,186,326,604,287,892,29,47,70,40,49,88,670,385,1052,2327,2275,4604,379,382,764,1624,1571,3195,968,975,1940
SSC51367,14,11,22,7,3,13,3,3,4,3,0,4,0,0,0,10,6,22,0,0,0,0,0,0,71.4,54.5,100,92.9,54.5,95.5,0,0,0,0,0,0,0,3,4,0,0,3,4,0,5,0,0,0,0,0,0,4,0,4,13,10,22,0,0,0,10,8,17,0,3,3
SSC51368,28,23,47,4,4,6,4,3,4,0,0,0,3,0,7,11,9,17,10,8,16,27.3,0,41.2,39.3,39.1,36.2,28.6,30.4,21.3,0,0,0,0,0,0,3,4,6,0,0,0,0,3,4,0,0,0,0,0,0,0,5,7,18,20,45,6,4,8,12,14,31,8,11,20
SSC51369,13,5,23,8,0,14,0,0,0,0,0,3,0,0,0,9,4,15,0,0,4,0,0,0,69.2,80,65.2,61.5,0,73.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,29,0,0,0,13,6,23,5,4,8
SSC51370,5273,5269,10543,2437,1547,3983,766,1256,2015,142,140,282,245,195,439,3582,3136,6714,1260,1720,2979,6.8,6.2,6.5,67.9,59.5,63.7,63.4,55.9,59.6,580,517,1098,149,209,356,1438,1435,2877,473,537,1010,586,285,866,21,49,69,66,109,176,676,443,1118,4164,4125,8286,1254,1202,2457,2312,2401,4715,3034,2848,5887
SSC51371,86,70,154,49,35,81,11,18,24,3,3,7,0,0,0,60,54,110,16,6,25,0,0,0,69.8,77.1,71.4,73.3,80,72.7,0,0,0,0,0,0,3,6,7,4,0,0,16,4,26,0,0,0,0,0,3,18,12,23,85,69,153,11,13,25,63,45,112,28,32,59
SSC51372,27,20,48,16,5,25,0,3,8,0,0,5,0,0,0,22,12,40,7,3,7,0,0,0,81.5,60,83.3,59.3,40,79.2,0,0,0,0,0,0,0,0,5,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,24,16,44,3,0,4,25,19,40,8,4,6
SSC51373,5,4,8,0,0,4,0,0,0,0,0,0,0,0,0,4,3,9,0,0,0,0,0,0,80,75,112.5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,0,3,4,3,3,3,0,3
SSC51374,34,26,61,23,9,33,3,3,7,3,3,3,0,0,0,31,20,46,0,4,9,0,0,0,91.2,76.9,75.4,85.3,57.7,70.5,0,0,0,0,0,3,3,3,12,3,4,4,8,0,7,0,0,0,0,0,0,6,3,11,40,23,66,3,0,5,26,14,41,16,8,23
SSC51375,20,18,34,5,3,12,3,4,6,3,0,3,0,0,0,16,4,21,3,10,11,0,0,0,80,22.2,61.8,55,38.9,61.8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,18,14,30,0,0,3,15,10,25,3,4,3
SSC51376,12,6,21,5,5,8,0,3,0,0,0,0,0,0,0,10,4,14,0,0,4,0,0,0,83.3,66.7,66.7,41.7,133.3,38.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,12,6,20,3,3,7,12,6,20,5,3,3
SSC51377,9,10,17,3,6,10,0,0,3,0,0,3,0,0,0,9,5,17,0,0,0,0,0,0,100,50,100,33.3,60,94.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,4,8,10,16,0,0,0,8,10,16,0,0,0
SSC51378,8,13,18,6,3,8,0,3,3,0,0,0,0,0,0,6,3,9,0,4,7,0,0,0,75,23.1,50,75,46.2,61.1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,20,0,4,3,4,4,9,0,11,13
SSC51379,1283,1291,2574,475,222,703,122,288,406,50,39,86,71,61,132,718,615,1326,461,596,1061,9.9,9.9,10,56,47.6,51.5,50.4,42.5,46.4,13,13,27,9,22,29,67,101,166,91,138,223,433,188,623,20,27,44,23,44,66,474,258,731,1091,1108,2200,309,310,620,634,626,1258,705,745,1454
SSC51380,30,28,62,16,4,18,0,8,9,3,0,3,0,0,0,22,15,31,9,11,20,0,0,0,73.3,53.6,50,63.3,42.9,48.4,0,0,0,0,0,3,4,4,13,0,3,3,5,0,7,0,0,0,0,3,3,5,4,6,36,29,59,3,0,3,24,18,39,14,3,16
SSC51381,28,29,55,23,13,30,4,12,13,0,0,0,0,0,0,27,16,44,3,5,11,0,0,0,96.4,55.2,80,96.4,86.2,78.2,0,0,0,0,0,0,5,3,5,0,7,7,7,3,8,0,0,0,0,0,0,7,3,13,36,36,70,0,0,0,23,18,40,14,10,22
SSC51382,324,241,567,150,49,201,19,51,73,19,12,34,18,16,32,213,130,337,69,94,166,8.5,12.3,9.5,65.7,53.9,59.4,58,46.5,54.3,3,0,0,0,0,0,10,17,25,7,12,24,77,22,98,0,5,6,5,4,11,81,31,117,269,221,493,64,52,114,201,144,344,112,104,211
SSC51383,3772,3832,7605,2206,1151,3351,492,1088,1584,120,111,228,199,183,382,3018,2532,5546,618,1183,1800,6.6,7.2,6.9,80,66.1,72.9,74.7,61.3,67.9,231,222,455,49,84,135,603,770,1366,348,411,756,904,370,1273,35,62,98,46,79,122,987,510,1495,3949,3897,7842,890,924,1819,1890,1863,3755,2645,2619,5268
SSC51384,833,805,1634,254,133,388,85,155,234,29,20,44,89,44,130,451,349,801,273,372,653,19.7,12.6,16.2,54.1,43.4,49,44.2,38.3,40.8,3,3,6,0,5,7,7,29,36,18,50,69,215,86,305,15,23,40,15,12,23,247,123,367,763,745,1511,119,136,257,536,512,1047,274,311,587
SSC51385,4067,4400,8463,1805,977,2780,409,1018,1429,157,127,282,219,164,384,2587,2284,4873,1171,1739,2906,8.5,7.2,7.9,63.6,51.9,57.6,58.3,48.2,53.1,71,102,173,33,82,113,312,503,816,282,378,661,1181,482,1668,40,68,104,79,107,188,1300,664,1966,3527,3707,7233,818,922,1741,2450,2583,5037,1718,1870,3587
SSC51386,1256,1559,2813,435,272,707,154,336,484,34,38,74,56,22,85,676,670,1346,488,793,1280,8.3,3.3,6.3,53.8,43,47.8,49.6,41.4,45,13,29,36,19,22,43,90,150,233,78,137,221,311,192,503,16,32,46,28,46,76,360,267,624,1133,1359,2490,287,344,630,728,872,1604,626,751,1383
SSC51387,30,43,75,10,15,20,3,9,16,5,0,5,3,0,5,21,25,43,12,16,29,14.3,0,11.6,70,58.1,57.3,60,55.8,54.7,0,4,4,0,0,0,3,3,3,0,8,8,7,3,12,0,0,0,0,3,3,7,6,18,20,37,59,7,9,21,18,28,43,15,22,32
SSC51388,110,94,199,46,19,69,9,20,32,9,4,10,8,3,11,76,48,126,27,33,61,10.5,6.3,8.7,69.1,51.1,63.3,58.2,45.7,55.8,0,0,0,0,0,0,4,5,8,4,13,15,50,16,63,3,0,3,0,0,0,53,13,66,115,101,217,10,3,11,85,64,148,33,32,66
SSC51389,3,4,10,3,4,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,10,0,0,0,5,0,7,0,3,3
SSC51390,421,415,840,76,68,138,34,24,50,11,15,23,64,40,97,177,138,312,219,252,475,36.2,29,31.1,42,33.3,37.1,28.7,25.8,25.1,0,3,5,3,0,3,4,18,26,5,3,14,50,29,74,16,25,48,7,6,11,72,56,128,506,523,1030,86,74,156,392,400,789,154,157,309
SSC51391,2124,2020,4144,847,545,1391,338,462,799,58,58,116,180,113,296,1418,1181,2600,456,632,1087,12.7,9.6,11.4,66.8,58.5,62.7,58.5,52.7,55.6,142,123,268,43,56,96,369,511,884,184,175,360,355,156,508,20,31,49,27,41,65,395,228,623,1620,1570,3193,555,493,1046,829,889,1721,1257,1098,2358
SSC51392,20,22,46,7,3,9,3,3,4,0,0,3,0,0,0,8,10,20,11,8,22,0,0,0,40,45.5,43.5,50,27.3,34.8,0,4,4,0,4,4,3,4,6,0,0,3,3,0,3,0,0,0,0,3,3,3,3,5,16,24,41,0,0,0,16,24,41,0,0,0
SSC51393,197,178,379,104,52,152,21,54,70,12,3,13,15,7,28,151,117,267,44,58,96,9.9,6,10.5,76.6,65.7,70.4,69.5,61.2,62,0,0,3,0,0,3,10,21,37,16,16,36,74,26,106,5,9,7,4,7,10,89,36,129,210,195,403,19,20,37,161,143,309,67,71,134
SSC51394,3888,4073,7961,1954,1037,2995,504,1122,1623,91,113,203,193,141,337,2741,2414,5156,966,1479,2447,7,5.8,6.5,70.5,59.3,64.8,65.6,55.8,60.6,252,189,436,70,91,158,738,842,1586,329,405,740,784,282,1070,23,37,59,43,108,150,850,421,1275,3898,4115,8012,495,469,961,2735,2922,5663,1508,1489,2995
SSC51395,69,63,129,29,17,49,8,17,29,10,0,6,0,4,3,46,41,89,16,21,39,0,9.8,3.4,66.7,65.1,69,68.1,54,65.1,0,0,0,0,0,0,14,15,25,4,8,6,10,7,21,0,0,0,0,0,0,16,11,25,63,66,137,10,11,22,43,49,91,28,30,55
SSC51396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51397,1022,973,1998,459,241,699,120,284,403,50,27,78,54,35,92,691,590,1279,258,332,593,7.8,5.9,7.2,67.6,60.6,64,61.5,56.7,59.1,16,23,39,16,32,47,102,159,254,77,123,202,317,108,427,9,17,25,13,31,41,342,155,493,998,982,1984,128,114,243,755,746,1496,356,326,686
SSC51398,35,5,46,11,0,17,0,0,0,0,0,0,0,3,3,18,0,17,3,0,3,0,0,17.6,51.4,0,37,31.4,0,37,0,0,0,0,0,0,0,0,5,3,0,3,3,0,3,0,0,0,0,0,0,3,0,3,14,5,15,9,0,8,10,3,9,9,0,17
SSC51399,487,469,956,271,131,406,60,176,233,15,13,34,25,14,40,368,333,706,97,127,222,6.8,4.2,5.7,75.6,71,73.8,71,68.2,70.4,3,0,3,9,11,19,10,51,66,32,57,87,174,73,251,11,18,26,7,14,25,196,105,301,524,510,1038,63,66,130,375,349,722,204,209,418
SSC51400,273,296,564,132,76,206,29,76,109,7,8,15,11,14,27,179,170,352,77,112,194,6.1,8.2,7.7,65.6,57.4,62.4,61.5,54.1,58.5,4,6,8,3,8,12,32,47,75,28,37,69,96,34,123,0,7,10,5,14,18,96,52,150,293,309,600,21,31,57,225,242,465,79,87,166
SSC51401,7,6,16,3,0,3,0,0,0,0,0,3,0,0,0,5,0,8,0,0,0,0,0,0,71.4,0,50,42.9,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,9,0,0,0,3,0,5,0,0,0
SSC51402,1223,1288,2511,602,326,929,139,305,442,47,39,87,86,87,166,870,751,1621,266,447,713,9.9,11.6,10.2,71.1,58.3,64.6,64.4,52,58.1,11,14,25,0,15,19,51,75,127,63,112,173,300,182,482,21,29,50,26,40,66,344,256,602,1274,1290,2564,204,227,424,817,840,1659,582,595,1173
SSC51403,21,13,33,3,0,5,0,0,0,0,0,0,0,0,0,10,0,6,8,14,23,0,0,0,47.6,0,18.2,14.3,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,14,19,36,6,7,14,14,17,34,3,4,9
SSC51404,136,162,298,14,21,40,4,5,11,3,5,7,15,8,23,37,40,84,54,77,128,40.5,20,27.4,27.2,24.7,28.2,15.4,19.1,19.5,0,3,4,0,3,3,3,6,10,4,3,5,15,6,25,3,3,3,0,3,3,19,7,29,117,149,267,73,74,142,108,126,236,65,58,125
SSC51405,3808,4056,7866,1852,1279,3134,542,890,1434,82,131,217,160,119,283,2644,2425,5066,798,1244,2051,6.1,4.9,5.6,69.4,59.8,64.4,65,56.7,60.8,578,464,1041,106,220,323,1211,1344,2551,279,350,628,308,149,462,12,20,30,51,70,125,372,241,613,2996,3117,6114,914,999,1920,1587,1728,3306,2249,2287,4539
SSC51406,3791,4000,7795,2146,1223,3368,458,1045,1507,126,160,288,210,209,424,2946,2642,5587,589,1105,1701,7.1,7.9,7.6,77.7,66,71.7,72,60.7,66.2,167,193,367,42,101,147,563,771,1336,360,464,820,934,408,1349,30,77,103,68,102,170,1028,592,1621,3605,3754,7354,914,903,1821,2139,2175,4310,2089,2184,4268
SSC51407,36,27,63,18,10,23,6,11,20,0,0,3,0,0,0,30,16,47,3,11,14,0,0,0,83.3,59.3,74.6,66.7,77.8,73,0,0,0,0,0,0,4,5,10,4,3,7,6,3,13,0,0,0,0,3,3,6,10,13,39,26,72,0,3,5,24,20,42,15,11,27
SSC51408,551,602,1154,257,159,416,52,141,190,24,21,45,27,18,52,350,342,692,160,230,388,7.7,5.3,7.5,63.5,56.8,60,60.4,53.3,56.4,3,12,10,6,19,26,20,59,83,45,66,107,185,79,261,6,15,20,9,19,26,200,113,311,462,525,982,166,188,349,279,302,580,315,368,686
SSC51409,3217,3359,6576,1400,828,2229,358,765,1127,141,100,244,223,142,371,2124,1841,3969,907,1340,2244,10.5,7.7,9.3,66,54.8,60.4,59,50.4,54.7,38,62,96,32,57,91,221,314,538,210,350,559,952,404,1353,29,54,86,45,94,142,1030,550,1581,3130,3281,6411,422,417,835,2199,2269,4471,1232,1305,2539
SSC51410,1640,1581,3217,770,361,1130,237,454,689,41,39,83,41,39,78,1086,894,1983,447,581,1028,3.8,4.4,3.9,66.2,56.5,61.6,63.9,54,59.1,218,162,381,31,94,123,466,524,995,126,180,309,112,49,159,9,14,18,13,23,38,133,81,217,1594,1475,3066,341,279,616,833,860,1696,1044,864,1908
SSC51411,47,33,80,29,5,35,5,10,21,0,0,0,3,0,3,36,21,59,8,7,13,8.3,0,5.1,76.6,63.6,73.8,72.3,45.5,70,0,0,0,0,0,0,3,7,8,3,3,9,12,3,15,0,0,0,0,3,4,13,10,22,49,32,80,7,7,10,29,16,49,21,22,42
SSC51412,2744,361,3102,1804,237,2043,114,20,129,138,20,165,5,0,5,2061,280,2342,17,3,17,0.2,0,0.2,75.1,77.6,75.5,74.9,76.7,75.3,42,8,53,13,8,19,226,45,276,170,40,206,1053,48,1101,16,7,22,35,7,37,1105,63,1164,946,161,1107,1122,116,1241,117,11,126,1942,267,2208
SSC51413,52,40,95,22,11,33,12,11,17,5,7,11,0,0,0,39,27,61,11,13,27,0,0,0,75,67.5,64.2,75,72.5,64.2,0,3,4,0,0,0,10,13,19,3,8,6,12,5,21,0,0,3,0,0,0,18,5,22,53,48,97,3,0,4,36,36,68,13,13,33
SSC51414,9,8,13,3,0,3,0,3,4,0,0,0,0,0,3,3,6,8,0,0,3,0,0,37.5,33.3,75,61.5,33.3,37.5,53.8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,3,10,0,0,3,3,4,6,4,3,4
SSC51415,11,11,26,5,4,11,0,3,3,0,0,0,0,0,0,9,5,18,4,5,11,0,0,0,81.8,45.5,69.2,45.5,63.6,53.8,0,0,0,0,0,0,4,0,3,0,0,0,3,3,3,0,0,0,0,3,3,3,4,8,14,9,26,4,0,8,8,14,20,4,0,8
SSC51416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51417,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC51418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51419,139,132,269,36,17,51,5,16,20,5,5,12,10,6,19,57,45,105,53,72,122,17.5,13.3,18.1,41,34.1,39,33.1,28.8,30.9,0,0,3,0,0,0,0,4,7,4,3,10,23,11,33,0,3,3,0,0,3,23,20,43,127,135,261,18,22,39,95,94,187,42,49,89
SSC51420,80,83,164,25,15,34,8,10,18,4,0,5,7,4,9,37,32,68,31,38,63,18.9,12.5,13.2,46.3,38.6,41.5,46.3,30.1,34.8,0,0,0,0,3,3,3,8,8,0,3,3,9,4,15,0,4,0,0,3,3,13,9,19,70,67,139,3,16,19,54,53,103,20,30,53
