SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC50999,264,292,551,92,59,154,42,69,106,12,7,22,7,6,14,148,143,291,92,131,219,4.7,4.2,4.8,56.1,49,52.8,55.3,46.2,51.2,7,9,14,7,7,16,19,46,60,26,36,64,53,30,83,3,6,7,5,18,22,63,52,112,232,248,483,62,72,133,125,146,269,168,168,337
SSC51000,38,36,80,12,5,20,6,10,22,0,0,0,0,0,0,25,16,40,19,22,33,0,0,0,65.8,44.4,50,47.4,41.7,52.5,0,0,0,0,5,5,3,0,4,3,3,5,15,4,16,0,0,0,0,0,0,13,9,18,47,43,88,3,3,9,38,32,73,9,11,24
SSC51001,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,0,0,4
SSC51002,13,10,26,10,3,9,0,0,0,3,0,3,0,0,0,12,3,19,0,3,3,0,0,0,92.3,30,73.1,100,30,46.2,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,21,0,0,0,12,10,17,0,0,4
SSC51003,74,71,143,30,23,56,9,22,29,3,0,3,3,6,6,50,45,92,24,21,42,6,13.3,6.5,67.6,63.4,64.3,56.8,63.4,61.5,0,5,5,0,0,0,3,4,10,6,3,15,30,7,35,0,0,0,0,3,3,32,10,40,79,58,135,14,7,20,64,48,107,24,18,44
SSC51004,152,160,307,49,19,69,12,16,31,3,0,4,27,17,42,89,60,149,52,87,143,30.3,28.3,28.2,58.6,37.5,48.5,42.1,21.9,33.9,3,0,3,0,3,3,7,0,4,0,0,0,24,28,54,9,3,13,4,0,5,39,25,71,177,205,386,21,31,53,135,150,289,45,57,101
SSC51005,2737,3056,5796,1553,924,2476,373,957,1328,88,134,217,129,111,243,2139,2123,4266,474,804,1282,6,5.2,5.7,78.2,69.5,73.6,73.6,65.9,69.4,246,239,489,98,187,290,751,945,1701,237,303,540,446,163,610,8,26,37,40,69,105,502,257,756,2886,3101,5991,476,509,982,1968,2145,4113,1209,1286,2494
SSC51006,1268,1265,2526,623,299,924,135,386,516,51,38,87,80,46,128,886,765,1654,308,445,757,9,6,7.7,69.9,60.5,65.5,63.8,57.2,60.5,19,26,40,16,34,56,120,167,284,105,146,251,407,173,581,12,14,31,24,50,70,443,244,682,1309,1274,2578,176,205,384,924,878,1806,496,542,1040
SSC51007,20,15,31,4,0,5,3,4,9,0,0,0,0,0,0,6,5,15,3,3,14,0,0,0,30,33.3,48.4,35,26.7,45.2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,7,0,6,16,13,30,0,0,3,12,10,22,3,3,10
SSC51008,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0
