SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC51523,0,0,0,0,3,0,0,4,10,20
SSC51524,0,0,6,109,158,78,77,92,29,537
SSC51525,81,16,127,706,921,399,281,664,189,3160
SSC51526,0,0,0,13,21,13,5,16,31,93
SSC51527,0,0,0,10,7,3,4,0,3,29
SSC51528,17,0,25,516,481,254,172,500,90,2000
SSC51529,0,0,0,44,26,11,19,23,22,144
SSC51530,14,0,29,285,284,154,97,180,68,1065
SSC51531,0,0,0,33,34,18,13,17,13,136
SSC51532,0,0,0,7,12,3,6,9,0,39
SSC51533,14,4,18,1026,1238,516,491,928,193,4389
SSC51534,8,0,14,79,92,56,32,88,43,393
SSC51535,0,0,0,6,4,3,0,0,3,24
SSC51536,0,0,0,33,26,8,9,28,36,133
SSC51537,0,0,0,0,6,0,3,18,3,31
SSC51538,0,0,0,25,21,11,11,18,10,88
SSC51539,0,0,0,27,24,8,4,43,15,128
SSC51540,0,0,0,4,9,10,3,0,4,28
SSC51541,0,0,0,0,0,0,0,0,0,0
SSC51542,9,3,18,1662,1964,721,691,1447,483,6967
SSC51543,0,0,0,8,6,18,5,14,0,47
SSC51544,0,0,0,3,4,0,0,3,0,7
SSC51545,0,0,0,19,29,19,14,13,16,97
SSC51546,0,0,0,20,18,11,8,10,4,67
SSC51547,0,0,0,3,0,0,0,0,10,18
SSC51548,138,49,300,2384,2520,1029,740,1669,711,9045
SSC51549,46,17,129,1333,1443,670,505,769,252,4971
SSC51550,0,0,0,8,11,3,5,11,5,45
SSC51551,4,0,15,273,339,161,124,194,127,1212
SSC51552,0,0,0,0,5,0,0,3,0,13
SSC51553,72,38,216,1374,1816,885,833,1414,592,6919
SSC51554,0,0,0,0,0,0,0,0,0,0
SSC51555,0,0,0,7,4,0,3,3,0,16
SSC51556,0,0,0,22,33,21,14,20,15,127
SSC51557,17,3,31,81,127,56,37,138,47,473
SSC51558,0,0,0,6,3,0,4,3,0,14
SSC51559,0,0,0,3,0,4,5,7,0,23
SSC51560,0,0,0,3,0,4,0,6,3,19
SSC51561,0,0,3,243,287,115,107,214,101,1062
SSC51562,77,6,94,892,995,332,209,657,272,3352
SSC51563,0,0,0,7,6,0,3,3,3,15
SSC51564,72,17,111,1567,1298,298,185,1163,758,5266
SSC51565,0,0,0,16,21,11,13,21,19,94
SSC51566,0,0,0,60,88,42,39,47,34,310
SSC51567,0,0,3,9,8,13,7,8,4,47
SSC51568,0,0,0,11,18,3,7,14,10,60
SSC51569,3,3,9,98,109,54,48,85,443,843
SSC51570,0,3,3,68,96,73,60,52,48,404
SSC51571,0,0,0,13,16,10,10,18,10,72
SSC51572,33,8,65,1147,1177,415,395,1482,544,5159
SSC51573,0,0,0,35,33,18,13,43,29,173
SSC51574,0,0,0,4,3,0,9,4,0,26
SSC51575,0,0,0,3,0,0,0,8,14,32
SSC51576,3,0,8,52,77,24,27,39,17,233
SSC51577,80,13,122,531,731,273,191,508,168,2406
SSC51578,0,0,0,55,94,46,52,43,35,322
SSC51579,0,0,0,0,0,5,0,0,0,7
SSC51580,0,0,0,3,0,0,0,0,0,5
SSC51581,0,0,0,8,0,7,3,3,4,28
SSC51582,0,0,0,0,0,0,0,0,3,5
SSC51583,0,0,0,0,0,0,0,0,0,0
SSC51584,3,0,6,48,69,50,54,54,26,297
SSC51585,0,0,0,311,438,162,196,276,288,1674
SSC51586,0,0,0,3,6,0,0,5,0,14
SSC51587,0,0,0,4,4,6,8,7,0,25
SSC51588,0,0,0,0,0,3,0,0,0,4
SSC51589,0,0,0,10,4,5,14,8,3,47
SSC51590,0,0,0,0,0,0,3,0,0,4
SSC51591,0,0,0,0,5,3,0,3,0,19
SSC51592,0,0,0,4,9,3,4,8,4,36
SSC51593,116,24,199,880,1010,416,336,866,346,3848
SSC51594,0,0,0,11,21,14,27,28,9,118
SSC51595,97,29,229,3496,4015,1933,1583,2836,559,14423
SSC51596,0,3,0,21,33,25,10,9,19,113
SSC51597,5,0,13,147,194,108,106,106,92,752
SSC51598,0,0,0,15,31,13,13,33,11,124
SSC51599,0,0,9,89,124,61,51,70,30,427
SSC51600,98,28,213,1290,1345,489,402,1549,411,5485
SSC51601,0,0,0,118,116,25,11,236,126,638
SSC51602,0,0,0,20,44,18,3,20,31,143
SSC51603,0,0,0,13,32,24,17,10,9,106
SSC51604,0,0,0,4,3,0,0,4,9,25
SSC51605,0,0,0,23,28,25,20,14,9,120
SSC51606,37,8,80,1230,1364,663,532,967,172,4930
SSC51607,0,0,0,41,70,24,29,28,17,215
SSC51608,15,7,27,392,590,272,256,610,310,2428
SSC51609,0,0,0,0,3,0,0,8,3,14
SSC51610,0,0,0,0,3,0,0,3,4,16
SSC51611,0,0,0,7,0,0,4,0,0,9
SSC51612,0,0,5,65,39,20,22,61,102,314
SSC51613,0,0,0,4,3,3,12,8,0,32
SSC51614,0,0,0,3,6,4,4,7,5,38
SSC51615,6,5,26,137,170,97,92,152,50,706
SSC51616,0,0,0,3,8,0,3,3,3,20
SSC51617,0,0,0,25,31,15,17,18,24,133
SSC51618,14,9,44,239,325,176,174,279,176,1376
SSC51619,0,0,0,17,43,19,16,29,17,137
SSC51620,12,3,20,227,266,133,89,184,101,1000
SSC51621,59,21,172,825,938,444,355,588,177,3334
SSC51622,0,0,0,0,0,0,0,0,0,4
SSC51623,0,0,5,83,106,75,88,92,60,509
SSC51624,67,9,135,1928,2180,995,736,1487,276,7601
SSC51625,0,0,0,22,18,8,7,7,9,71
SSC51626,0,0,0,0,0,0,0,0,17,20
SSC51627,0,0,0,7,6,0,4,5,7,24
SSC51628,0,0,0,3,4,6,0,0,3,13
SSC51629,0,0,0,99,166,87,88,108,1934,2484
SSC51630,4,0,12,203,290,147,153,199,96,1082
SSC51631,0,0,0,13,7,6,10,10,4,55
SSC51632,0,0,0,8,9,0,5,8,0,28
SSC51633,3,4,6,12,14,10,12,19,8,82
SSC51634,6,0,8,184,260,131,147,275,108,1106
SSC51635,0,6,6,47,67,40,38,45,38,272
SSC51636,0,0,0,0,0,0,0,0,0,0
SSC51637,10,3,17,53,81,48,30,90,53,348
SSC51638,0,0,0,4,5,4,0,9,0,20
SSC51639,0,0,5,109,117,54,40,158,113,590
SSC51640,0,0,0,3,0,6,3,0,0,20
SSC51641,0,0,0,7,4,0,3,3,3,23
SSC51642,0,0,0,28,29,14,26,20,20,137
SSC51643,122,66,259,438,611,274,257,518,263,2361
SSC51644,0,0,0,0,0,0,0,0,0,0
SSC51645,0,0,0,34,32,19,6,107,57,252
SSC51646,0,0,0,24,19,12,7,3,8,73
SSC51647,5,0,7,135,248,180,89,87,72,817
SSC51648,0,0,0,55,69,39,27,39,18,246
SSC51649,0,0,9,409,515,249,221,298,162,1842
SSC51650,26,88,129,1317,1680,814,752,1282,845,6687
SSC51651,0,0,0,4,6,0,0,8,0,18
SSC51652,0,0,0,3,0,0,0,0,4,12
SSC51653,15,13,50,1403,1595,659,511,1293,488,5946
SSC51654,0,0,0,14,33,13,11,24,30,124
SSC51655,0,0,0,0,3,0,0,0,9,10
SSC51656,0,0,0,4,3,0,3,3,3,10
SSC51657,0,0,0,7,6,5,3,11,0,38
SSC51658,0,0,3,57,77,41,68,51,24,316
SSC51659,0,0,0,3,3,0,3,3,0,14
SSC51660,0,0,0,16,25,9,6,17,6,76
SSC51661,0,0,0,7,12,5,4,6,11,48
SSC51662,0,0,0,0,0,0,0,0,0,0
SSC51663,4,0,3,7,22,13,12,14,25,95
SSC51664,0,0,0,0,0,0,0,0,3,3
SSC51665,0,0,0,0,0,0,0,0,4,9
SSC51666,0,0,0,11,23,4,9,3,8,61
SSC51667,0,0,0,11,14,12,11,10,3,58
SSC51668,0,0,0,5,8,4,4,3,7,29
SSC51669,0,0,0,3,0,0,0,0,3,6
SSC51670,0,0,0,13,18,7,5,0,0,32
SSC51671,0,0,0,0,0,0,0,0,0,3
SSC51672,191,82,391,2470,2697,970,733,2181,855,9906
SSC51673,0,0,0,16,15,9,8,14,9,65
SSC51674,26,15,65,310,523,256,298,416,288,2089
SSC51675,0,0,0,3,8,0,0,4,5,28
SSC51676,0,0,0,14,12,3,6,7,16,58
SSC51677,0,0,0,3,3,0,5,7,0,18
SSC51678,0,0,0,5,9,0,3,3,14,40
SSC51679,0,0,0,48,77,48,44,38,27,286
SSC51680,0,0,0,0,0,3,0,0,0,6
SSC51681,0,0,0,7,3,0,0,3,3,15
SSC51682,0,0,0,0,0,0,0,0,0,0
SSC51683,0,0,0,0,0,0,0,0,0,0
SSC59494,7,6,23,962,791,327,210,1663,1594,5559
SSC59797,3,0,3,32,31,10,9,274,81,434
