SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC51013,37,0,1166,0,1125,0.4,1374,2.4
SSC51014,41,433,528,149,1399,0.8,1101,2.4
SSC51015,43,1517,677,294,1613,0.7,1274,2.2
SSC51016,43,1800,669,340,1771,0.7,1593,2.6
SSC51017,44,0,0,0,0,0,0,0
SSC51018,0,0,0,0,0,0,0,0
SSC51019,0,0,0,0,0,0,0,0
SSC51020,42,2600,926,450,2697,0.7,2180,2.6
SSC51021,49,1990,624,350,1595,0.7,1223,2.3
SSC51022,0,0,0,0,0,0,0,0
SSC51023,37,0,2404,0,0,0,0,0
SSC51024,48,0,860,0,1125,0.7,1124,2.4
SSC51025,42,0,824,0,1375,1,1312,2.5
SSC51026,37,1800,745,310,1839,0.7,1621,2.6
SSC51027,33,0,837,0,1812,0.6,1624,2.1
SSC51028,0,0,0,0,0,0,0,0
SSC51029,0,0,0,0,0,0,0,0
SSC51030,43,2167,625,315,1862,0.8,1671,2.8
SSC51031,48,1842,606,150,1775,0.6,1583,2.6
SSC51032,25,0,293,50,725,1.1,725,3.6
SSC51033,41,0,949,0,0,0.2,1875,1
SSC51034,42,607,625,120,1514,0.8,1222,2.4
SSC51035,0,0,0,0,0,0,0,0
SSC51036,35,0,2171,0,0,0,1699,2
SSC51037,40,2167,809,460,2279,0.7,2068,2.9
SSC51038,51,1645,396,200,767,0.7,682,2.2
SSC51039,42,634,599,125,1262,0.9,937,2.3
SSC51040,35,1900,900,290,2326,0.8,2050,2.7
SSC51041,42,1213,488,200,1187,0.8,1055,2.5
SSC51042,53,2000,550,0,1666,0.7,1583,2.3
SSC51043,48,933,762,0,1833,0.7,1792,2.8
SSC51044,42,0,774,0,0,0,0,0
SSC51045,47,2000,635,346,1843,0.7,1387,2.5
SSC51046,39,2000,637,350,1598,0.8,1507,2.8
SSC51047,41,0,849,0,0,0,962,1
SSC51048,48,1430,700,0,2750,0.8,2583,2.6
SSC51049,41,468,817,50,2036,0.6,1333,2.1
SSC51050,37,2167,773,400,2151,0.7,1892,2.8
SSC51051,43,0,724,0,2374,0.5,1375,2
SSC51052,49,0,656,165,1321,0.7,1218,2.3
SSC51053,46,0,762,0,1958,0.5,1656,2.2
SSC51054,44,2002,479,480,1719,0.7,1392,2.6
SSC51055,35,0,725,0,2750,0.5,2249,3
SSC51056,22,0,483,0,0,0,0,0
SSC51057,50,1820,643,255,1562,0.7,1333,2.3
SSC51058,0,0,0,0,0,0,0,0
SSC51059,42,2200,708,400,2142,0.7,1377,2.3
SSC51060,47,1733,746,165,1764,0.8,1553,2.5
SSC51061,49,692,656,180,1312,0.8,1213,2.3
SSC51062,56,0,537,0,1124,0,1124,2
SSC51063,40,0,450,0,0,0.3,1125,1
SSC51064,30,0,1541,0,3999,0.5,2499,2
SSC51065,41,0,474,0,899,0.6,900,2.5
SSC51066,38,2234,621,180,2036,0.8,1625,2.7
SSC51067,47,0,267,0,474,0.8,574,1.7
SSC51068,51,0,478,150,1708,0.8,1124,2
SSC51069,58,0,487,0,0,1,374,1
SSC51070,0,0,0,0,0,0,0,0
SSC51071,51,0,758,150,1625,0.9,1781,2.5
SSC51072,40,0,1125,0,0,0.8,1375,2.2
SSC51073,52,1300,495,175,1223,0.8,964,2.2
SSC51074,46,1733,522,0,1375,0.9,1218,2.6
SSC51075,38,0,1625,0,2250,0.8,1124,2.3
SSC51076,50,1430,578,100,1468,0.7,1268,2.4
SSC51077,55,0,1125,0,2374,0.5,2374,2
SSC51078,49,655,712,138,1625,0.7,1141,2.2
SSC51079,33,1800,669,0,1124,0.8,974,2.4
SSC51080,45,2167,840,0,2125,0.9,1916,2.9
SSC51081,47,0,833,0,1874,0.5,1374,1.8
SSC51082,46,1300,589,87,1444,0.8,1201,2.5
SSC51083,39,1192,615,220,1485,0.7,1181,2.3
SSC51084,44,1950,933,0,2083,0.7,2041,3
SSC51085,45,2438,928,310,1875,0.7,2250,3.4
SSC51086,49,0,675,350,1524,0,1125,2
SSC51087,0,0,0,0,0,0,0,0
SSC51088,40,3160,919,500,3304,0.8,2422,2.7
SSC51089,32,0,1013,0,2250,0.6,1625,2.7
SSC51090,39,0,875,50,1874,1,1374,2.5
SSC51091,40,2100,710,400,1843,0.7,1812,2.9
SSC51092,42,1700,646,100,1604,0.8,1578,2.8
SSC51093,45,0,1625,0,0,0,0,2
SSC51094,30,0,1125,0,1937,1,1671,3
SSC51095,0,0,0,0,0,0,0,0
SSC51096,71,0,0,0,0,0,0,0
SSC51097,51,0,599,100,1437,0.6,1124,1.7
SSC51098,40,0,762,0,2499,0.5,1375,2
SSC51099,35,433,830,152,1728,0.6,1292,2
SSC51100,47,1517,603,100,1406,0.6,1125,2.3
SSC51101,33,433,1729,110,2806,0.9,2502,2.9
SSC51102,29,0,287,50,702,1.3,911,4
SSC51103,29,2500,1397,180,3376,0.9,3116,3.1
SSC51104,54,1509,446,200,966,0.7,833,2
SSC51105,46,0,697,213,1625,0.7,1374,2.1
SSC51106,54,0,383,0,0,1,749,1.5
SSC51107,40,0,550,0,1187,0,1125,0
SSC51108,38,1794,634,250,966,0.9,1125,2.3
SSC51109,47,1239,624,0,1937,0.6,1625,1.8
SSC51110,42,0,1224,0,2583,0.9,2562,2.8
SSC51111,32,0,933,0,1875,0.6,1875,2
SSC51112,32,1893,700,365,1585,0.8,1389,2.3
SSC51113,35,0,860,0,1812,0.7,1812,2
SSC51114,44,1950,636,368,1796,0.7,1542,2.7
SSC51115,60,834,450,0,1437,0.7,900,1.7
SSC51116,54,0,850,0,1875,0,1875,2.4
SSC51117,48,604,490,140,1140,0.7,776,1.9
SSC51118,48,0,1166,0,2124,0.5,1625,2
SSC51119,0,0,0,0,0,0,0,0
SSC51120,43,2485,867,350,2341,0.7,1727,2.3
SSC51121,35,0,710,0,1312,0.5,1125,2
SSC51122,44,2400,657,290,1946,0.9,1857,3
SSC51123,31,0,762,0,0,0.3,1074,2.5
SSC51124,51,0,0,0,0,0,0,0
SSC51125,41,2860,1166,500,3089,0.9,2485,2.5
SSC51126,42,2163,637,250,1971,0.8,1687,2.7
SSC51127,34,0,0,0,0,0,0,0
SSC51128,45,2538,1123,478,2980,0.8,2173,2.1
SSC51129,50,1355,455,0,1125,0.8,1156,2.7
SSC51130,40,2050,1078,0,2100,0.9,2049,2.6
