SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC50689,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,3,0,10,0,23
SSC50690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,25
SSC50691,3,11,3,7,10,15,4,3,0,58,0,3,3,5,5,17,4,7,11,53,62,161,129,165,232,266,127,222,18,1379
SSC50692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,4,7,0,11,0,36
SSC50693,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,3,3,3,4,4,30,0,64
SSC50694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,5,7,9,3,31
SSC50695,0,3,3,3,3,4,4,0,0,21,0,4,0,0,0,3,3,3,5,26,17,70,77,53,86,115,42,85,9,560
SSC50696,4,23,18,25,51,36,18,20,4,199,6,24,7,7,24,37,8,28,35,187,143,584,518,513,983,883,386,577,83,4675
SSC50697,4,14,16,14,16,23,9,11,0,103,3,8,3,12,14,20,9,12,15,98,97,249,249,272,518,522,304,401,30,2643
SSC50698,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,3,10,14,20,17,17,13,10,19,22,3,141
SSC50699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,8,3,0,3,18,136,3,186
SSC50700,0,6,0,4,4,0,3,3,0,31,7,3,3,3,0,3,3,7,8,28,44,98,76,71,78,95,64,134,16,675
SSC50701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,8,0,18
SSC50702,4,24,8,9,22,25,17,22,0,138,3,17,18,14,19,30,6,20,16,142,131,430,365,359,425,538,281,513,38,3083
SSC50703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,3,6,9,3,5,15,7,41,0,87
SSC50704,0,3,6,3,3,5,3,3,0,26,4,0,0,0,0,5,0,12,6,28,52,103,70,95,67,68,50,140,22,671
SSC50705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50706,0,3,5,0,4,0,0,4,0,11,0,3,3,0,0,3,0,4,0,11,20,48,31,47,39,49,13,69,7,323
SSC50707,3,7,4,6,7,16,8,31,0,73,0,9,3,3,7,15,8,19,24,101,74,178,103,159,293,336,240,590,48,2016
SSC50708,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,4,4,7,3,5,0,13,0,39
SSC50709,3,11,9,10,15,17,10,10,0,86,3,8,6,11,12,13,7,18,17,98,87,349,309,284,354,446,215,404,36,2498
SSC50710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,5,3,0,16,3,47
SSC50711,0,0,3,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,3,0,10,7,19,4,7,5,9,3,69
SSC50712,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,3,3,20,25,18,20,27,19,33,143,11,314
SSC50713,3,3,0,0,0,3,0,3,0,15,0,3,3,0,3,7,0,0,4,21,48,66,35,49,83,82,71,304,15,749
SSC50714,0,0,0,3,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,9,12,30,17,20,21,29,19,31,3,173
SSC50715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
SSC50716,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,13,12,9,8,9,3,27,3,90
SSC50717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,13,3,0,0,0,27
SSC50718,0,3,3,0,0,0,0,0,0,16,0,6,4,3,3,5,0,0,0,25,28,171,105,73,102,127,47,80,29,754
SSC50719,6,21,20,20,30,26,16,23,0,175,3,29,20,19,29,43,14,29,34,214,133,674,516,473,786,806,400,614,65,4474
SSC50720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,9,0,19
SSC50721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,8,3,30,0,59
SSC50722,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,6,6,4,9,8,14,26,0,87
SSC50723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,16
SSC50724,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,6,12,15,26,21,24,15,25,4,146
SSC50725,0,5,4,4,4,8,3,4,0,40,3,5,3,3,5,8,3,8,8,39,28,79,64,69,121,120,69,134,11,693
SSC50726,0,0,0,0,4,0,0,0,0,3,0,4,0,0,0,3,0,0,0,7,15,18,21,23,29,37,19,40,0,203
SSC50727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
SSC50728,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,4,12,6,18,6,16,0,80
SSC50729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,5,0,4,0,20,0,40
SSC50731,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,3,0,0,3,12,3,4,21,0,53
SSC50732,3,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,6,0,13,5,7,10,12,11,12,7,69,4,136
SSC50733,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,5,17,14,12,14,23,11,36,0,135
SSC50734,3,25,21,19,26,37,15,18,0,162,3,28,18,14,17,31,22,35,23,195,156,607,472,467,574,791,458,746,62,4334
SSC50735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
