SSC_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SSC50690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,6
SSC50691,12,40,10,24,0,92,8,10,65,27,40,5,152,0,0,3,0,6,0,11,0,0,4,6,33,0,46,0,0,9,4,18,4,32,36,26,232,157,433,37,924
SSC50692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,7,19
SSC50693,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,8,16,3,43
SSC50694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,12
SSC50695,7,26,7,3,0,60,11,8,35,13,10,0,81,0,0,5,0,3,0,7,0,0,3,3,4,0,17,3,0,3,0,3,0,16,75,35,187,74,67,7,450
SSC50696,53,189,53,63,8,428,42,27,191,115,106,19,502,0,0,9,13,17,0,39,10,0,23,29,85,5,154,6,0,17,18,58,14,116,242,134,936,589,1141,117,3156
SSC50697,25,111,18,16,0,220,30,12,151,44,45,12,300,3,7,30,7,10,0,54,3,0,18,13,41,0,82,4,0,25,8,31,10,73,225,107,839,315,470,60,2007
SSC50698,0,3,0,5,0,6,3,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,7,3,16,23,44,0,96
SSC50699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,24,15,73,3,119
SSC50700,4,27,3,9,0,45,0,0,11,10,8,3,33,0,0,4,3,7,0,19,0,0,0,0,15,0,18,0,0,0,3,7,6,17,6,5,68,60,233,28,408
SSC50701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,8
SSC50702,44,150,43,54,8,346,26,17,101,68,43,15,269,3,0,13,4,8,0,29,3,3,7,15,69,3,100,0,3,23,16,34,8,86,165,108,647,399,726,86,2136
SSC50703,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,9,3,15,7,42
SSC50704,3,20,7,11,0,36,0,0,10,10,11,0,32,0,0,3,0,3,0,10,0,0,0,3,11,0,21,0,0,0,3,10,4,18,13,6,58,56,208,28,367
SSC50705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50706,6,14,3,4,3,37,0,3,12,12,0,0,25,0,0,0,0,0,0,3,0,0,0,3,3,0,6,0,0,0,0,3,0,6,12,13,61,33,72,11,204
SSC50707,22,76,13,16,4,142,9,9,58,22,27,3,130,0,0,4,0,3,0,8,4,0,3,5,38,3,53,0,0,5,8,33,19,62,86,45,313,140,604,60,1249
SSC50708,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,3,21
SSC50709,30,118,36,30,12,271,35,10,112,44,32,12,249,0,0,13,6,9,0,27,0,0,6,9,37,0,58,3,0,20,20,18,10,68,164,83,581,324,551,75,1785
SSC50710,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,5,17,0,26
SSC50711,0,13,0,0,0,11,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,12,3,12,3,27
SSC50712,0,0,3,3,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,4,3,18,20,104,14,161
SSC50713,4,13,8,9,0,35,0,3,5,9,12,0,27,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,0,0,0,10,0,13,13,11,58,49,258,22,401
SSC50714,3,7,0,4,0,16,0,0,6,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,3,0,3,29,18,46,4,99
SSC50715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
