SSC_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SSC51557,19,35,25,27,9,9,15,26,6,163
SSC51558,6,0,0,0,0,0,0,0,0,11
SSC51559,11,0,0,0,0,0,0,0,0,19
SSC51560,0,0,0,0,0,0,5,0,0,17
SSC51561,61,120,148,54,93,51,132,62,9,733
SSC51562,317,933,159,179,237,148,52,106,27,2151
SSC51563,5,3,0,0,0,0,0,0,0,9
SSC51564,443,1272,278,306,371,198,73,186,56,3178
SSC51565,23,12,6,4,4,0,3,3,0,56
SSC51566,22,22,27,16,21,19,32,23,4,182
SSC51567,11,0,0,3,3,0,3,0,0,22
SSC51568,27,0,0,0,0,0,0,12,0,47
SSC51569,51,35,43,20,44,25,15,19,0,257
SSC51570,30,30,31,25,34,21,24,25,3,212
SSC51571,18,0,6,3,5,0,0,4,0,45
SSC51572,209,419,472,389,378,269,231,407,70,2842
SSC51573,24,10,33,4,12,3,25,11,0,116
SSC51574,11,0,0,0,0,0,0,0,0,13
SSC51575,4,0,5,0,0,0,0,5,0,14
SSC51576,13,13,27,13,24,15,35,14,0,154
SSC51577,199,485,195,140,166,93,43,92,25,1436
SSC51578,27,36,47,12,37,19,16,13,3,205
SSC51579,0,0,0,0,0,0,0,5,0,4
SSC51580,0,0,0,0,0,0,3,0,0,7
SSC51581,11,0,0,0,0,0,0,0,0,11
SSC51582,0,0,0,0,0,0,0,0,0,0
SSC51583,0,0,0,0,0,0,0,0,0,0
SSC51584,57,15,16,16,16,11,17,31,4,177
SSC51585,49,98,330,103,103,41,243,83,23,1067
SSC51586,3,0,0,0,0,0,0,0,0,3
SSC51587,9,8,0,0,0,0,0,0,0,21
SSC51588,0,0,0,0,0,0,0,0,0,0
SSC51589,9,3,7,0,0,0,3,0,0,27
SSC51590,3,0,0,0,0,0,0,0,0,4
SSC51591,4,0,0,0,0,0,3,3,0,12
SSC51592,14,0,7,0,0,0,0,0,0,20
SSC51593,235,547,306,230,277,127,99,195,34,2044
SSC51594,5,3,11,0,0,0,0,13,0,33
SSC51595,890,2512,1108,846,1154,706,388,682,117,8406
SSC51596,14,17,14,4,6,0,0,6,0,58
SSC51597,196,58,46,38,42,16,40,56,10,504
SSC51598,3,0,4,6,6,6,19,5,0,52
SSC51599,38,34,46,23,32,31,14,25,3,258
SSC51600,277,741,361,365,334,257,139,315,58,2855
SSC51601,26,48,86,21,17,5,102,49,6,364
SSC51602,41,17,14,3,5,3,0,3,0,94
SSC51603,11,10,9,9,10,5,8,4,4,68
SSC51604,0,0,0,0,0,0,0,3,0,12
SSC51605,29,6,12,0,11,6,7,8,0,79
SSC51606,459,939,257,250,409,333,66,179,46,2936
SSC51607,25,22,17,14,20,11,7,31,0,145
SSC51608,56,120,183,109,75,106,112,232,18,1007
SSC51609,0,0,5,0,0,0,3,0,0,7
SSC51610,9,0,0,0,0,0,0,0,0,9
SSC51611,4,0,0,0,0,0,0,0,0,8
SSC51612,32,15,13,8,13,10,5,22,3,121
SSC51613,9,3,3,0,0,0,0,0,0,29
SSC51614,4,0,3,0,0,3,3,3,0,21
SSC51615,66,53,81,36,53,39,47,43,7,436
SSC51616,9,3,0,0,0,0,0,0,0,15
SSC51617,15,8,11,11,3,10,3,3,0,66
SSC51618,30,59,137,81,75,89,57,94,13,628
SSC51619,11,5,16,3,9,4,11,7,0,67
SSC51620,81,133,73,71,75,44,38,47,9,573
SSC51621,281,603,173,153,265,178,44,89,23,1804
SSC51622,4,0,0,0,0,0,0,0,0,4
SSC51623,15,18,46,19,25,14,27,47,5,226
SSC51624,629,1151,709,564,839,530,190,329,61,4999
SSC51625,24,3,3,0,0,0,5,9,0,44
SSC51626,0,0,0,0,0,0,0,0,0,0
SSC51627,16,0,0,0,0,0,0,0,0,17
SSC51628,5,0,0,0,0,0,0,0,0,9
SSC51629,51,47,85,35,50,20,23,41,13,362
SSC51630,64,86,126,59,107,70,77,61,20,669
SSC51631,10,3,6,3,8,4,4,6,0,37
SSC51632,4,0,3,0,0,0,0,0,0,11
SSC51633,22,5,5,0,3,0,10,4,0,40
SSC51634,34,52,112,72,77,52,66,108,12,590
SSC51635,14,22,30,11,22,12,13,9,4,139
SSC51636,0,0,0,0,0,0,0,0,0,0
SSC51637,36,15,15,10,16,0,21,13,0,134
SSC51638,9,0,0,0,0,0,3,3,3,15
SSC51639,27,38,19,80,24,10,19,29,5,247
SSC51640,6,3,3,0,4,0,0,3,0,19
SSC51641,10,0,4,0,0,0,0,0,0,15
SSC51642,8,9,12,8,4,3,11,3,0,60
SSC51643,127,152,178,166,135,116,69,137,21,1099
SSC51644,0,0,0,0,0,0,0,0,0,0
SSC51645,25,23,31,13,12,0,51,17,0,165
SSC51646,19,0,0,3,3,0,3,9,0,41
SSC51647,95,125,82,48,30,41,18,45,3,483
SSC51648,28,23,26,8,17,13,11,16,0,144
SSC51649,114,167,224,134,153,158,92,142,4,1192
SSC51650,306,484,809,460,461,351,341,472,54,3743
SSC51651,9,0,3,0,0,0,0,0,0,14
SSC51652,8,0,0,0,0,0,0,0,0,3
SSC51653,328,597,778,381,544,320,292,438,62,3730
SSC51654,22,5,10,3,6,3,0,11,5,62
SSC51655,0,0,0,0,0,0,0,0,0,3
SSC51656,6,0,0,0,0,0,0,0,0,7
SSC51657,7,3,0,7,3,0,0,6,0,28
SSC51658,30,12,22,12,7,8,26,25,7,146
SSC51659,14,0,0,0,0,0,0,0,0,10
SSC51660,30,0,5,0,3,0,3,13,0,58
SSC51661,13,3,3,0,5,0,3,3,0,29
SSC51662,0,0,0,0,0,0,0,0,0,0
SSC51663,12,0,12,0,3,0,7,3,0,41
SSC51664,0,0,0,0,0,0,0,0,0,0
SSC51665,0,0,0,0,0,0,0,0,0,0
SSC51666,12,5,11,3,0,0,0,4,0,42
SSC51667,17,3,3,3,3,0,5,4,0,44
SSC51668,4,7,5,0,0,0,0,0,0,15
